"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.25854824975919,1.10774076349851,3.84435455485962,0.000141605321104998
"log(OUT)",-0.494097893129813,0.117302531580323,-4.21216734603447,3.16014911195659e-05
"RegionRiver",-8.79477926025776,1.57475294902855,-5.58486286098601,4.45491215194146e-08
"RegionSuisun Bay",-4.14397688983624,1.63042786242794,-2.54164994682149,0.0114284990627767
"RegionSuisun Marsh",0.102240808895541,1.740044509414,0.0587575825459618,0.953175999393229
"log(OUT):RegionRiver",0.895772571845749,0.166638120277749,5.37555614737308,1.33355090419395e-07
"log(OUT):RegionSuisun Bay",0.37609011132672,0.174102932547589,2.16015954368787,0.0313833596917437
"log(OUT):RegionSuisun Marsh",-0.0627829069792519,0.185519168495492,-0.33841735863956,0.735235106163495
