"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",17.7979391124547,0.785363119877826,22.6620510461753,1.06121641295099e-113
"X2",-0.160074805927002,0.00944852593657952,-16.9417755744607,2.21341837636035e-64
"RegionRiver",-5.22665998929724,0.703641814749335,-7.42801220697663,1.10241787068828e-13
"RegionSuisun Bay",-0.722214615177673,0.696129232103651,-1.03747204092435,0.299515919297629
"RegionSuisun Marsh",3.96555868263902,0.816985810027157,4.85388930134197,1.21063332066017e-06
"X2:RegionRiver",0.0990838254959705,0.00858020952847934,11.5479494022952,7.56027690150954e-31
"X2:RegionSuisun Bay",0.0159086385182377,0.00849241221798221,1.87327676870796,0.0610301761441172
"X2:RegionSuisun Marsh",-0.037295262696465,0.00995925855971348,-3.74478305516932,0.000180549720333286
