"agency","survey_char","collection_date","depth_bottom","fish_id","StationCode","SampleDate","MethodCode","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","Secchi","WaterTemp","SpecificConductance","TurbidityNTU","DO","CommonName","ForkLength","SpecialStudy","FishComments","Count"
"usfws","edsm",2017-08-10,NA,"E1","18-02-CS01",2017-08-10,"KDTR",38.33263,38.33302,-121.64747,-121.64732,0.5,22.8999996185303,246,21.2000007629395,7.68,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E10","18-08-LSR01",2017-09-18,"KDTR",38.06795,38.06716,-121.85263,-121.85567,0.579999983310699,20.8999996185303,159.100006103516,16.2000007629395,10.08,"Delta Smelt",56,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E11","18-08-LSR01",2017-09-18,"KDTR",38.06795,38.06716,-121.85263,-121.85567,0.579999983310699,20.8999996185303,159.100006103516,16.2000007629395,10.08,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E12","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",55,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E13","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",56,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E14","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",54,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E15","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",47,"DOP",NA,1
"usfws","edsm",2017-08-10,NA,"E151","18-02-SBM02",2017-08-10,"KDTR",38.06603,38.06591,-122.04357,-122.04493,0.400000005960464,22.3999996185303,8404,47.0999984741211,12.75,"Delta Smelt",60,"DOP",NA,1
"usfws","edsm",2017-08-11,NA,"E152","18-02-SBM04",2017-08-11,"KDTR",38.06836,38.06823,-121.96778,-121.96752,0.469999998807907,22.2000007629395,6152,48.2999992370605,7.5,"Delta Smelt",40,"DOP",NA,1
"usfws","edsm",2017-08-11,NA,"E153","18-02-SBM04",2017-08-11,"KDTR",38.06836,38.06823,-121.96778,-121.96752,0.469999998807907,22.2000007629395,6152,48.2999992370605,7.5,"Delta Smelt",64,"DOP",NA,1
"usfws","edsm",2017-08-16,NA,"E154","18-03-SM02",2017-08-16,"KDTR",38.13345,38.13296,-122.05863,-122.05872,0.319999992847443,19.7999992370605,8679,55.2999992370605,8.34,"Delta Smelt",50,"DOP",NA,1
"usfws","edsm",2017-08-16,NA,"E155","18-03-SM02",2017-08-16,"KDTR",38.13345,38.13296,-122.05863,-122.05872,0.319999992847443,19.7999992370605,8679,55.2999992370605,8.34,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-08-16,NA,"E156","18-03-SM02",2017-08-16,"KDTR",38.13332,38.13281,-122.05877,-122.05928,0.310000002384186,20.2999992370605,9358,83.5999984741211,8.13,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-08-16,NA,"E157","18-03-HB01",2017-08-16,"KDTR",38.04787,38.04845,-121.88599,-121.88593,0.639999985694885,21.5,3235,20.2000007629395,8.16,"Delta Smelt",52,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E158","18-04-SBM05",2017-08-22,"KDTR",38.08259,38.08237,-122.04039,-122.03993,0.259999990463257,20,10399,63.2999992370605,8.16,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E159","18-04-SBM05",2017-08-22,"KDTR",38.08259,38.08237,-122.04039,-122.03993,0.259999990463257,20,10399,63.2999992370605,8.16,"Delta Smelt",54,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E16","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E160","18-04-SBM05",2017-08-22,"KDTR",38.08259,38.08237,-122.04039,-122.03993,0.259999990463257,20,10399,63.2999992370605,8.16,"Delta Smelt",50,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E161","18-04-SBM05",2017-08-22,"KDTR",38.08259,38.08237,-122.04039,-122.03993,0.259999990463257,20,10399,63.2999992370605,8.16,"Delta Smelt",58,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E162","18-04-SBM05",2017-08-22,"KDTR",38.08249,38.08254,-122.04176,-122.04214,0.25,20.2999992370605,9050,80.8000030517578,8.4,"Delta Smelt",58,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E163","18-04-SBM02",2017-08-22,"KDTR",38.11064,38.10858,-122.05485,-122.05493,0.300000011920929,20.5,9066,95.4000015258789,8.05,"Delta Smelt",46,"DOP",NA,1
