region_no,region,year,month,sal_base,sal_fallX2_hi,sal_fallX2_low,sal_sumX2_hi
8,SE Suisun,2016,2,0.376374731,NA,NA,NA
8,SE Suisun,2016,3,0.543321939,NA,NA,NA
8,SE Suisun,2016,4,0.402535078,NA,NA,NA
8,SE Suisun,2016,5,0.08933591,NA,NA,NA
8,SE Suisun,2016,6,0.073504745,NA,NA,0.622371907
8,SE Suisun,2016,7,0.073557865,NA,NA,3.910684502
8,SE Suisun,2016,8,1.062859958,1.789549806,0.553341986,5.865902536
8,SE Suisun,2016,9,8.216243819,9.010723987,0.861508082,2.974523972
8,SE Suisun,2016,10,1.582151342,10.55465277,1.421087277,NA
8,SE Suisun,2016,11,3.48926122,5.287958124,1.940333615,NA
8,SE Suisun,2016,12,5.307528895,NA,NA,NA
9,NE Suisun,2016,1,6.826941613,NA,NA,NA
9,NE Suisun,2016,2,0.469645908,NA,NA,NA
9,NE Suisun,2016,3,0.696680461,NA,NA,NA
9,NE Suisun,2016,4,0.481792139,NA,NA,NA
9,NE Suisun,2016,5,0.071073558,NA,NA,NA
9,NE Suisun,2016,6,0.085071044,NA,NA,0.687544904
9,NE Suisun,2016,7,0.269950871,NA,NA,4.399530459
9,NE Suisun,2016,8,1.732461498,1.999479481,0.611161486,6.630957248
9,NE Suisun,2016,9,0.675454822,10.22273139,0.95509155,3.338052601
9,NE Suisun,2016,10,1.008484761,11.9887298,1.582668077,NA
9,NE Suisun,2016,11,3.759778239,5.953222595,2.16301961,NA
9,NE Suisun,2016,12,2.860171144,NA,NA,NA
10,Suisun Marsh,2016,1,1.218929016,NA,NA,NA
10,Suisun Marsh,2016,2,0.705222495,NA,NA,NA
10,Suisun Marsh,2016,3,0.497364799,NA,NA,NA
10,Suisun Marsh,2016,4,0.698523355,NA,NA,NA
10,Suisun Marsh,2016,5,0.517447788,NA,NA,NA
10,Suisun Marsh,2016,6,0.451991681,NA,NA,1.186247324
10,Suisun Marsh,2016,7,0.310950761,NA,NA,3.675963445
10,Suisun Marsh,2016,8,1.178260814,2.196083239,1.063080438,4.574480603
10,Suisun Marsh,2016,9,1.269976604,6.108478397,1.431422043,3.078999839
10,Suisun Marsh,2016,10,1.4058053,6.828722144,1.977302943,NA
10,Suisun Marsh,2016,11,2.642129411,4.83438331,2.60140498,NA
10,Suisun Marsh,2016,12,1.614206678,NA,NA,NA
11,SW Suisun,2016,1,10.61204691,NA,NA,NA
11,SW Suisun,2016,2,0.497382227,NA,NA,NA
11,SW Suisun,2016,3,0.779861537,NA,NA,NA
11,SW Suisun,2016,4,0.557612647,NA,NA,NA
11,SW Suisun,2016,5,0.186075569,NA,NA,NA
11,SW Suisun,2016,6,2.110005494,NA,NA,2.690779597
11,SW Suisun,2016,7,2.163532827,NA,NA,10.12623992
11,SW Suisun,2016,8,4.309630467,5.622175526,2.406143967,13.26510024
11,SW Suisun,2016,9,8.530861691,18.24890024,3.371747103,8.259972401
11,SW Suisun,2016,10,5.93257245,18.24890024,4.890324028,NA
11,SW Suisun,2016,11,8.451869727,13.41942797,6.499843041,NA
11,SW Suisun,2016,12,13.20532493,NA,NA,NA
12,NW Suisun,2016,1,11.67647669,NA,NA,NA
12,NW Suisun,2016,2,0.560959665,NA,NA,NA
12,NW Suisun,2016,3,0.797346291,NA,NA,NA
12,NW Suisun,2016,4,0.493038213,NA,NA,NA
12,NW Suisun,2016,5,0.119780247,NA,NA,NA
12,NW Suisun,2016,6,0.334739179,NA,NA,1.346572236
12,NW Suisun,2016,7,0.736238073,NA,NA,7.440148357
12,NW Suisun,2016,8,3.344527531,3.573852044,1.198948208,10.78717729
12,NW Suisun,2016,9,2.778108667,16.15346814,1.817998362,5.759224282
12,NW Suisun,2016,10,3.888120486,18.24890024,2.903600306,NA
12,NW Suisun,2016,11,7.29564239,10.00971912,3.937855417,NA
12,NW Suisun,2016,12,7.803784118,NA,NA,NA
1,Yolo Bypass,2024,1,0.164270639,NA,NA,NA
1,Yolo Bypass,2024,2,0.155020643,NA,NA,NA
1,Yolo Bypass,2024,3,0.167683133,NA,NA,NA
1,Yolo Bypass,2024,4,0.10904808,NA,NA,NA
1,Yolo Bypass,2024,5,0.090316177,NA,NA,NA
1,Yolo Bypass,2024,6,0.071834088,NA,NA,0.140472217
1,Yolo Bypass,2024,7,0.068002579,NA,NA,0.152133954
1,Yolo Bypass,2024,8,0.073030967,0.14105047,0.128767497,0.145344666
1,Yolo Bypass,2024,9,0.097016117,0.159181321,0.132664748,0.155279409
1,Yolo Bypass,2024,10,0.093172831,0.166570883,0.142561833,NA
1,Yolo Bypass,2024,11,0.114826761,0.187211209,0.173194437,NA
1,Yolo Bypass,2024,12,0.078301415,NA,NA,NA
2,Sacramento River,2024,1,0.097576778,NA,NA,NA
2,Sacramento River,2024,2,0.078795391,NA,NA,NA
2,Sacramento River,2024,3,0.082712791,NA,NA,NA
2,Sacramento River,2024,4,0.089199602,NA,NA,NA
2,Sacramento River,2024,5,0.05327554,NA,NA,NA
2,Sacramento River,2024,6,0.080277669,NA,NA,0.085028503
2,Sacramento River,2024,7,0.072265151,NA,NA,0.097880602
2,Sacramento River,2024,8,0.073238666,0.091225963,0.078445497,0.095872814
2,Sacramento River,2024,9,0.098848143,0.106981308,0.079105563,0.102672051
2,Sacramento River,2024,10,0.071407462,0.11264745,0.087044105,NA
2,Sacramento River,2024,11,0.092473465,0.11876054,0.104395352,NA
2,Sacramento River,2024,12,0.052201496,NA,NA,NA
3,South Delta,2024,1,0.174640016,NA,NA,NA
3,South Delta,2024,2,0.136719816,NA,NA,NA
3,South Delta,2024,3,0.122202432,NA,NA,NA
3,South Delta,2024,4,0.141329485,NA,NA,NA
3,South Delta,2024,5,0.132843406,NA,NA,NA
3,South Delta,2024,6,0.128285809,NA,NA,0.150844247
3,South Delta,2024,7,0.1526869,NA,NA,0.183532365
3,South Delta,2024,8,0.165174173,0.171869247,0.139978944,0.183881737
3,South Delta,2024,9,0.159430849,0.20869947,0.13843644,0.197351857
3,South Delta,2024,10,0.161055666,0.220999646,0.155639024,NA
3,South Delta,2024,11,0.175805338,0.219848547,0.184496045,NA
3,South Delta,2024,12,0.097547375,NA,NA,NA
4,East Delta,2024,1,0.089672546,NA,NA,NA
4,East Delta,2024,2,0.054430104,NA,NA,NA
4,East Delta,2024,3,0.05506689,NA,NA,NA
4,East Delta,2024,4,0.050523129,NA,NA,NA
4,East Delta,2024,5,0.035895481,NA,NA,NA
4,East Delta,2024,6,0.051002613,NA,NA,0.065609402
4,East Delta,2024,7,0.050683695,NA,NA,0.077530239
4,East Delta,2024,8,0.059303895,0.072421708,0.060696843,0.076756776
4,East Delta,2024,9,0.081257778,0.086340433,0.060646941,0.082285012
4,East Delta,2024,10,0.056350891,0.091156863,0.067414863,NA
4,East Delta,2024,11,0.051481579,0.093500821,0.080407872,NA
4,East Delta,2024,12,0.030130059,NA,NA,NA
5,Lower Sacramento,2024,1,0.108763507,NA,NA,NA
5,Lower Sacramento,2024,2,0.10150527,NA,NA,NA
5,Lower Sacramento,2024,3,0.104066834,NA,NA,NA
5,Lower Sacramento,2024,4,0.086465854,NA,NA,NA
5,Lower Sacramento,2024,5,0.058632442,NA,NA,NA
5,Lower Sacramento,2024,6,0.075551737,NA,NA,0.213943196
5,Lower Sacramento,2024,7,0.098797346,NA,NA,0.457771411
5,Lower Sacramento,2024,8,0.13426158,0.449955844,0.21068142,0.577623275
5,Lower Sacramento,2024,9,0.206736229,0.779390298,0.170870731,0.633853183
